,,,KH2PO4,NH4Cl,KCl,MgSO4*7H2O,ZnSO4·7H2O,H3BO3,MnCl2·4H2O,FeSO4·7H2O,CoCl2·6H2O,CuSO4·5H20,Na2MoO4·2H2O,Na4EDTA,biotin,pyridoxine,thiamine,riboflavin,para-aminobenzoic acid,nicotinic acid
a,a,0,0.947750,1.167913,0.180028,0.978002,0.337330,0.135659,0.414452,0.075534,0.203132,0.375590,0.004325,1.986739,0.009158,0.001909,0.001446,0.063810,0.009425,0.008337
b,b,1,0.897217,1.101133,0.103716,0.508811,0.246048,0.042705,0.252029,0.243208,0.243781,0.064238,0.077014,1.672971,0.005974,0.003320,0.005676,0.044762,0.005606,0.005725
c,c,2,0.894846,1.100198,0.104923,0.506559,0.248216,0.132975,0.295962,0.221188,0.263114,0.070177,0.076708,1.673080,0.006048,0.003303,0.005809,0.043810,0.005576,0.005797
d,d,3,0.635128,1.160442,1.036307,0.495889,0.291773,0.121539,0.428090,0.145395,0.250179,0.412893,0.047291,1.395122,0.003902,0.001668,0.005222,0.049524,0.008305,0.006198
e,e,4,1.135975,1.223237,0.954036,0.607179,0.066678,0.062673,0.205135,0.097682,0.153687,0.274961,0.007577,1.779558,0.006516,0.005693,0.005959,0.026943,0.008658,0.006775
f,f,5,0.863448,1.277408,0.200085,0.828237,0.129760,0.050816,0.307500,0.293988,0.268470,0.460747,0.037056,1.296300,0.004415,0.007491,0.002890,0.063810,0.009533,0.009676
g,g,6,0.314702,1.080844,0.569560,0.604067,0.230908,0.365419,0.466041,0.081576,0.222177,0.265009,0.029210,0.972446,0.007818,0.000151,0.001785,0.010925,0.004977,0.003776
h,i,8,0.400999,1.392585,0.505966,0.591378,0.436441,0.388113,0.388718,0.251436,0.247073,0.071365,0.012087,1.624001,0.006881,0.000177,0.002322,0.068571,0.009554,0.008719
i,j,9,1.453368,1.392585,0.505966,0.591378,0.436441,0.388113,0.388718,0.251436,0.247073,0.071365,0.012087,1.624001,0.006881,0.000177,0.002322,0.029524,0.009554,0.008719
j,k,10,1.508448,1.675694,0.586488,0.976332,0.374204,0.365855,0.197889,0.070151,0.377377,0.206901,0.042254,1.323150,0.002475,0.003797,0.005938,0.074286,0.007140,0.008588
