Variable,Min,Max,bound_before_round3,bound_before_round3
KH2PO4,0.25,5,0.25,5
NH4Cl,0.5,5,0.5,5
KCl,0.05,5,0.05,5
MgSO4*7H2O,0.005,5,0.005,5
ZnSO4·7H2O,0.0000225,0.5,0.0000225,0.5
H3BO3,0.00011,0.5,0.00011,1.1
MnCl2·4H2O,0.00005,0.5,0.00005,0.5
FeSO4·7H2O,0.00005,0.5,0.00005,0.5
CoCl2·6H2O,0.000017,0.5,0.000017,0.5
CuSO4·5H20,0.000016,0.5,0.000016,0.5
Na2MoO4·2H2O,0.00000085,0.1,0.00000085,0.1
Na4EDTA,0.00005,2.5,0.00005,2.5
biotin,0.000001,0.01,0.000001,0.01
pyridoxine,0.000001,0.01,0.000001,0.01
thiamine,0.000001,0.01,0.000001,0.01
riboflavin,0.000001,0.0075,0.000001,0.075
para-aminobenzoic acid,0.000001,0.01,0.000001,0.01
nicotinic acid,0.000001,0.01,0.000001,0.01
